"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"speech:state-purpose","I have job here.","Burada işim var."
"speech:state-purpose","I plan to work.","Burada çalışmayı düşünüyorum."
"speech:state-purpose","Immigrating.","Göç."
"speech:state-purpose","I am immigrating to Arstotzka.","Arstotzka'ya göç ediyorum."
"speech:state-purpose","I will move here.","Buraya taşınacağım."
"speech:state-purpose","I am coming to live with my husband.","Kocamla yaşamaya geldim."
"speech:state-purpose","I am coming to live with my wife.","Karımla yaşamaya geldim."
"speech:state-purpose","I am diplomatic envoy.","Ben diplomatik elçiyim."
"speech:state-purpose","I was called to diplomatic discussions.","Diplomatik görüşmelere çağrıldım."
"speech:state-purpose","My presence was requested.","Buraya çağırıldım"
"speech:state-purpose","I am seeking asylum.","Sığınmaya geldim."
"speech:state-purpose","I come for political asylum.","Politik sığınma için geldim."
"speech:state-purpose","Asylum.","Sığınma."
"speech:ask-wrong-purpose","This entry permit is for work.","Belgede çalışmak için geldiğiniz yazıyor."
"speech:ask-wrong-purpose","You are authorized for transit only.","Sadece transit geçiş izniniz var."
"speech:ask-wrong-purpose","You have only a visitors entry permit.","Turistik vizeniz var."
"speech:ask-wrong-purpose","This entry permit is for immigrating.","Sadece oturma izniniz var."
"speech:ask-wrong-purpose","Your entry purpose does not match up.","Belirttiğiniz amaç belgedekiyle uyuşmuyor."
"speech:ask-wrong-purpose","This entry permit purpose does not match.","Belgedeki amaç farklı yazıyor."
"speech:mistake-prefix","Right.","Ah, doğru"
"speech:mistake-prefix","I make mistake.","Evet yanlış söyledim."
"speech:mistake-prefix","Yes, of course.","Evet, pardon."
"speech:mistake-prefix","Apologies.","Özür dilerim."
"speech:wrong-purpose","$mistake-prefix I am just visiting.","$mistake-prefix sadece gezeceğim."
"speech:wrong-purpose","$mistake-prefix I just pass through.","$mistake-prefix sadece geçiyorum."
"speech:wrong-purpose","$mistake-prefix I have come to work.","$mistake-prefix çalışmaya geldim."
"speech:wrong-purpose","$mistake-prefix I move here permanently.","$mistake-prefix artık burada yaşayacağım."
"speech:ask-duration","Duration of stay?","Kalış süreniz nedir?"
"speech:random-stay","I stay","Kalacağım süre"
"speech:random-stay","I remain for","Kalacağım"
"speech:random-stay","It will be","Büyük ihtimalle"
"speech:state-duration","$random-stay forever.","$random-stay sonsuza kadar."
"speech:state-duration","$random-stay until I die.","$random-stay ölene kadar."
"speech:state-duration","I don't plan to leave.","Ayrılmayı düşünmüyorum."
"speech:state-duration","$random-stay just 2 days.","$random-stay sadece 2 gün."
"speech:state-duration","$random-stay couple days.","$random-stay iki gün."
"speech:state-duration","$random-stay just 14 days.","$random-stay sadece 14 gün."
"speech:state-duration","$random-stay couple weeks.","$random-stay iki hafta."
"speech:state-duration","$random-stay only two weeks.","$random-stay sadece iki hafta."
"speech:state-duration","$random-stay 30 days.","$random-stay 30 gün."
"speech:state-duration","$random-stay a few weeks.","$random-stay dört hafta."
"speech:state-duration","$random-stay one month.","$random-stay bir ay."
"speech:state-duration","$random-stay 60 days.","$random-stay 60 gün."
"speech:state-duration","$random-stay 8 weeks.","$random-stay 8 hafta."
"speech:state-duration","$random-stay couple months.","$random-stay iki ay civarı."
"speech:state-duration","$random-stay two months.","$random-stay iki ay."
"speech:state-duration","$random-stay 90 days.","$random-stay 90 gün."
"speech:state-duration","$random-stay 12 weeks.","$random-stay 12 hafta."
"speech:state-duration","$random-stay three months.","$random-stay üç ay."
"speech:state-duration","$random-stay a few months.","$random-stay üç ay falan."
"speech:state-duration","$random-stay six months.","$random-stay altı ay."
"speech:state-duration","$random-stay half a year.","$random-stay yarım yıl."
"speech:state-duration","$random-stay one year.","$random-stay bir yıl."
"speech:state-duration","$random-stay full year.","$random-stay tüm sene."
"speech:state-duration","$random-stay a year.","$random-stay bir yıl boyunca."
"speech:ask-wrong-duration","The length of your stay is different.","Kalacağınız süre burada farklı."
"speech:wrong-duration","$mistake-prefix $state-duration","$mistake-prefix $state-duration"
"speech:ask-forgery-missing","This document is missing its seal.","Bu belgede mühür yok."
"speech:ask-forgery-missing","There is no seal here.","Burada mühür eksik."
"speech:ask-forgery-missing","I do not see the required seal here.","Gerekli mührü göremiyorum."
"speech:ask-forgery-wrong","This document is forged.","Bu belge sahte."
"speech:ask-forgery-wrong","This is a forgery.","Bu sahtecilik."
"speech:ask-forgery-idcard","This card contains false information.","Bu belgede hatalı bilgi var."
"speech:ask-forgery-diplo","This seal is forged.","Mühür sahte."
"speech:ask-forgery-diplo","This seal is not correct.","Yanlış mühür basılmış."
"speech:ask-forgery-asylumgrant","This seal is forged.","Bu mühür sahte."
"speech:ask-forgery-asylumgrant","This grant is not sealed properly.","Bu belgenin mührü yanlış."
"speech:ask-wrong-birthdate","These dates do not match.","Tarihler uyuşmuyor."
"speech:forgery","I have no idea what you are talking about.","Ne dediğin hakkında hiçbir fikrim yok."
"speech:forgery","I do not know anything about that.","Bu konuda hiçbir şey bilmiyorum."
"speech:forgery","I do not understand.","Anlamadım."
"speech:ask-expired-paper","This document has expired.","Bu belgenin tarihi geçmiş."
"speech:ask-expired-paper","You cannot enter using an expired document.","Tarihi geçmiş belgeyle geçemezsiniz."
"speech:expired-permit","I could not come until now.","Anca gelebildim."
"speech:expired-permit","I was busy.","Meşguldüm."
"speech:expired-passport","What? That is mistake. I just renewed it.","Ne? Bir hata olmalı. Daha geçen gün yeniledim."
"speech:expired-passport","That must be a typographical error.","Yazım hatası olmalı."
"speech:expired-asylumgrant","There was nothing I could do.","Yapabileceğim hiçbir şey yoktu."
"speech:expired-asylumgrant","My travel was difficult.","Yolculuk zor oldu."
"speech:expired-asylumgrant","Please, have mercy.","Lütfen, merhamet et."
"speech:ask-missing-passport","Where is passport?","Pasaportunuz nerede?"
"speech:ask-missing-passport","A passport is required.","Pasaport gerekiyor."
"speech:missing-passport","They took away my passport.","Pasaportumu aldılar."
"speech:missing-passport","What is passport?","Pasaport nedir?"
"speech:ask-missing-entrypermit","Where is the entry permit?","Giriş izni belgeniz nerede?"
"speech:ask-missing-entrypermit","You have no entry permit.","Giriş izni belgeniz yok."
"speech:ask-missing-entrypermit","The entry permit is missing.","Giriş izni belgeniz eksik."
"speech:missing-permit","I was not able to get one.","Almaya imkanım olmadı."
"speech:missing-permit","What is that?","O da ne?"
"speech:missing-permit","Do I need one?","Lazım mı?"
"speech:missing-permit","Is required?","Gerekli mi?"
"speech:missing-permit","I lost it.","Kaybettim."
"speech:missing-permit","I did not know it was required.","Gerektiğini bilmiyordum."
"speech:ask-missing-workpermit","Where is the work pass?","Çalışma vizeniz nerede?"
"speech:ask-missing-workpermit","You have no work pass.","Çalışma vizeniz yok."
"speech:ask-missing-workpermit","The work pass is missing.","Çalışma vizeniz eksik."
"speech:missing-workpermit","I will get one after I enter.","Girdikten sonra alacağım."
"speech:ask-missing-idcard","Where is your id card?","Kimliğiniz nerede?"
"speech:ask-missing-idcard","I need your id card.","Kimliğinize ihtiyacım var."
"speech:missing-idcard","I never got one.","Hiç olmadı ki."
"speech:missing-idcard","I left before they were issued.","Basılmadan önce kaybettim."
"speech:missing-idcard","I lost it.","Kaybettim."
"speech:ask-missing-idsupplement","You must carry an id supplement.","Ek kimlik bilgisi taşımalısınız."
"speech:ask-missing-idsupplement","Where is your id supplement?","Ek kimliğiniz nerede?"
"speech:missing-idsupplement","I never got one.","Hiç olmadı ki."
"speech:missing-idsupplement","What is a supplement?","O da nedir?"
"speech:missing-idsupplement","This was not provided to me.","Bu bana söylenmemişti."
"speech:ask-missing-asylumgrant","You have no grant for asylum.","Sığınma hakkı belgeniz yok."
"speech:ask-missing-asylumgrant","Where is your asylum grant?","Sığınma hakkı belgeniz nerede?"
"speech:missing-asylumgrant","I could not secure one in time.","Zamanında alamadım."
"speech:missing-asylumgrant","I have none.","Yok."
"speech:missing-asylumgrant","What is that?","O nedir?"
"speech:ask-missing-accesspermit","Where is the access permit?","Erişim izni belgeniz nerede?"
"speech:ask-missing-accesspermit","You have no access permit.","Erişim izni belgeniz yok."
"speech:ask-missing-accesspermit","The access permit is missing.","Erişim izni belgeniz eksik."
"speech:ask-wrong-name","These names do not match.","Isimler uyuşmuyor."
"speech:wrong-name","I have two different names.","Iki ismim var."
"speech:wrong-name","I have multiple names.","Göbek adım da var."
"speech:wrong-name","My name was changed recently.","Geçenlerde adımı değiştirdim."
"speech:ask-wrong-workend","You are not authorized to work this long.","Bu kadar uzun çalışma hakkınız yok."
"speech:ask-wrong-workend","This work pass expires before your visit.","Çalışma vizenizin süresi normal vizenizden erken bitiyor."
"speech:wrong-workend","I will renew the pass soon.","Yakında yenilerim."
"speech:wrong-workend","I am planning to renew it.","Yenilemeyi planlıyorum."
"speech:wrong-workend","My entry permit is longer than I need.","Giriş iznim ihtiyacımdan da uzun süreli."
"speech:ask-wrong-idnumber","These numbers do not match.","Sayılar eşleşmiyor."
"speech:ask-wrong-idnumber","There is a discrepancy here.","Burada bir uyuşmazlık var."
"speech:ask-wrong-idnumber","There are two different numbers here.","Burada iki farklı numara var."
"speech:wrong-idnumber","It must be a mistake. The document is valid.","Bir hata olmalı. Belgeler geçerli."
"speech:wrong-idnumber","Check again.","Tekrar kontrol edin."
"speech:ask-wrong-face","This does not look like you.","Bu size benzemiyor."
"speech:ask-wrong-face","Your picture. It is different.","Fotoğraftaki sizden farklı."
"speech:ask-wrong-face","Your appearance has changed.","Görünüşünüz değişmiş."
"speech:wrong-face","It is an old picture.","Oradaki fotoğraf eski."
"speech:wrong-face","I had surgery.","Ameliyat oldum."
"speech:wrong-face","The years have been cruel.","Yıllar acımasız davrandı."
"speech:wrong-face","I do not know what to say. It is me.","Ne diyeceğimi bilmiyorum. O benim."
"speech:ask-wrong-issuingcity","This issuing city is incorrect.","Basıldığı yer bilgisi hatalı."
"speech:ask-wrong-issuingcity","Your passport has false information.","Pasaportunuzda hatalı bilgi var."
"speech:ask-wrong-gender","You are a man?","Erkek misiniz?"
"speech:ask-wrong-gender","It says here that you are male.","Burada erkek olduğunuz yazıyor."
"speech:ask-wrong-gender","You are a woman?","Kadın mısınız?"
"speech:ask-wrong-gender","Your passport says you are female.","Burada kadın olduğunuz yazıyor."
"speech:ask-wrong-gender","Are you a woman or a man?","Kadın mısınız erkek mi?"
"speech:ask-wrong-gender","You are male or female?","Cinsiyetiniz kadın mı erkek mi?"
"speech:wrong-gender","The passport is correct.","Pasaport hatalı."
"speech:wrong-gender","Why do you ask?","Neden sordunuz?"
"speech:wrong-gender","As the document says.","Orada yazan doğru."
"speech:wrong-gender","What is this question?","Bu nasıl bir soru?"
"speech:ask-wrong-gender-busted","There is a problem with your documentation.","Belgede bir hata var."
"speech:ask-approved","Glory to Arstotzka.","Yaşasın Arstotzka."
"speech:ask-approved","Cause no trouble.","Sorun çıkartmayın."
"speech:ask-nativesonly","Try again.","Sonra tekrar deneyin."
"speech:ask-nativesonly","Arstotzkans only.","Yalnızca Arstotzkalılar."
"speech:ask-wrong-nation","No entry from Obristan.","Obristan'dan giriş yasak."
"speech:ask-wrong-nation","No entry from Kolechia.","Kolechia'dan giriş yasak."
"speech:ask-wrong-nation","No entry from United Federation.","Birleşik Fed.'dan giriş yasak."
"speech:ask-wrong-nation","No entry from Antegria.","Antegria'dan giriş yasak."
"speech:ask-wrong-nation","No entry from Republia.","Republia'dan giriş yasak."
"speech:ask-wrong-nation","No entry from Arstotzka.","Arstotzka'dan giriş yasak."
"speech:ask-wrong-nation","No entry from Impor.","Impor'dan giriş yasak."
"speech:ask-search","Face the scanner.","Tarayıcıya dönün."
"speech:ask-search","Turn towards the scanner.","Tarayıcıya doğru dönün."
"speech:ask-detain","Wait here.","Burada bekleyin."
"speech:ask-detain","One moment please.","Bir dakika lütfen."
"speech:detain","What are you doing?","Ne yapıyorsun?"
"speech:detain","What is happening?","Neler oluyor?"
"speech:detain","What is this?","Bu da ne?"
"speech:detain","You cannot do this!","Bunu yapamazsın!"
"speech:detain","What will happen to me?","Bana ne yapacaksınız?"
"speech:detain","Who do you think you are?","Kim olduğunu sanıyorsun?"
"speech:detain","You have no authority for this!","Buna hakkın yok!"
"speech:detain","You are a fool!","Aptalın tekisin!"
"speech:ask-search-enabled","You have been selected for a random search.","Rastgele aramaya tabi tutuldunuz."
"speech:ask-wrong-entryticket-date","This ticket is for another day.","Bilet başka gün için."
"speech:ask-wrong-entryticket-date","You cannot enter today.","Bugün giremezsiniz."
"speech:ask-wrong-entryticket-date","The date on this ticket is wrong.","Biletinizdeki tarih yanlış."
"speech:wrong-entryticket-date","It is my mistake.","Benim hatam."
"speech:wrong-entryticket-date","Oh?","Öyle mi?"
"speech:ask-missing-entryticket","You cannot enter without a ticket.","Bilet olmadan giremezsiniz."
"speech:ask-missing-entryticket","Foreigners must present an entry ticket.","Yabancıların giriş bileti göstermesi gerekiyor."
"speech:ask-missing-entryticket","Where is your entry ticket?","Giriş biletiniz nerede?"
"speech:missing-entryticket","I do not know what that is.","Ne olduğu hakkında hiç fikrim yok."
"speech:missing-entryticket","I have none.","Yok."
"speech:missing-entryticket","It was lost.","Kayboldu."
"speech:ask-wrong-identity","I cannot verify your identity.","Kimliğinizi doğrulayamıyorum."
"speech:ask-wrong-identity","Your identity does not match.","Bilgileriniz uyuşmuyor."
"speech:ask-wrong-alias","There is no record of this name.","Bu isimle bir kayıt yok."
"speech:ask-wrong-alias","I cannot verify your alias.","Rumuzunu doğrulayamadım."
"speech:ask-wrong-fingerprints","Your fingerprints do not match our records.","Parmak izleriniz kayıtlarla uyuşmuyor."
"speech:ask-wrong-fingerprints","I cannot verify your fingerprints.","Parmak izleriniz doğrulanamadı."
"speech:ask-contraband","There is zero tolerance for contraband.","Kaçakçılığa toleransımız yok."
"speech:ask-contraband","You have made a mistake coming here.","Buraya gelmekle hata ettin."
"speech:contraband","You can see that?","Görünüyor mu?"
"speech:contraband","What?","Ne?"
"speech:contraband","I know nothing.","Fikrim yok."
"speech:contraband","Is it so obvious?","Çok mu belli oluyor?"
"speech:ask-wrong-information","This information does not look correct.","Bu bilgi doğru değil gibi."
"speech:ask-wrong-information","This is incorrect.","Burada bir hata var."
"speech:ask-wrong-height","Your height is different.","Boyunuz farklı."
"speech:wrong-height","Perhaps my shoes are different.","Ayakkabılarımdan olmalı."
"speech:wrong-height","It is a natural difference.","Doğal bir fark."
"speech:ask-wrong-weight","Your weight is different.","Kilonuz farklı."
"speech:wrong-weight","I am wearing different clothes.","Kıyafetlerdendir."
"speech:wrong-weight","My weight has changed naturally.","Doğal olarak değişti."
"speech:ask-criminal","You have interesting face.","Ilginç bir yüzünüz var."
"speech:ask-criminal","Maybe you should not have come.","Belki de hiç gelmemeliydin."
"speech:ask-criminal","We have some questions for you.","Sana bazı sorularımız var."
"speech:criminal","I have nothing to say.","Söyleyecek hiçbir şeyim yok."
"speech:criminal","Let me through or you will regret it.","Geçmeme izin ver yoksa kötü olur."
"speech:criminal","I do not like your tone.","Tavrını beğenmedim."
"speech:ask-wrong-description","This does not sound like you.","Bu senmişsin gibi görünmüyor."
"speech:ask-wrong-description","You do not match this description.","Açıklama sana uymuyor."
"speech:wrong-description","I have changed.","Değiştim."
"speech:wrong-description","How can you say for sure?","Nasıl emin olabilirsin?"
"speech:wrong-description","Is that good or bad?","Iyi mi kötü mü?"
"speech:hidden-paper","Here it is.","Işte burada."
"speech:hidden-paper","Sorry. I have it here.","Üzgünüm, burada."
"speech:hidden-paper","I have it here.","Buyurun, burada."
"speech:hidden-paper","Here.","Burada."
"speech:ask-wrong-thumbprint","Your thumb print does not match.","Parmak iziniz uymuyor."
"speech:ask-wrong-thumbprint","This print does not match.","Kayıtlar uyuşmuyor."
"speech:ask-wrong-diploaccess","Your diplomatic authorization does not cover Arstotzka.","Diplomatik ruhsatınız Artotzka'yı kapsamıyor."
"speech:ask-wrong-diploaccess","You have no diplomatic rights here.","Burada diplomatik hakkınız yok."
"speech:ask-wrong-diploaccess","This authorization does not include Arstotzka.","Bu ruhsat Arstotzka'da geçerli değil."
